Year,Engineering and computer science=All,Engineering and computer science=Junior,Engineering and computer science=Experienced,Formal and physical science=All,Formal and physical science=Junior,Formal and physical science=Experienced,Life science=All,Life science=Junior,Life science=Experienced,Social sciences=All,Social sciences=Junior,Social sciences=Experienced
2000,3,3,1,20,20,11,4,2,4,0,0,0
2001,1,1,0,27,23,16,12,10,8,0,0,0
2002,3,3,1,18,17,10,8,7,4,1,1,0
2003,9,8,3,18,12,13,23,18,11,1,0,1
2004,13,12,6,34,29,17,36,24,23,3,3,2
2005,15,15,4,50,43,25,31,23,21,2,1,1
2006,17,15,3,63,49,34,50,34,32,2,2,0
2007,23,19,10,66,52,31,77,59,40,6,6,2
2008,31,27,12,103,84,53,90,77,44,9,8,4
2009,52,46,19,120,100,52,122,95,53,12,10,4
2010,65,53,26,168,130,88,146,122,69,9,7,5
2011,77,62,32,227,181,114,170,134,67,17,15,7
2012,84,68,35,195,139,102,224,174,89,24,20,6
2013,89,71,34,235,179,122,294,215,108,23,18,8
2014,125,109,49,272,210,135,348,270,130,30,25,9
2015,103,88,35,316,244,132,370,274,116,28,23,5
2016,154,120,61,361,266,162,442,330,143,40,33,9
2017,147,119,39,414,318,172,441,347,124,48,38,11
2018,168,122,52,496,356,204,494,370,129,54,44,14
2019,192,148,56,563,411,206,532,408,128,67,55,9
2020,240,184,49,589,428,207,518,360,156,46,35,5
2021,297,203,89,662,452,219,610,402,187,71,51,10
